"SL No","Question Name","Rating","Tag","URL","Solved"
"258","Find Kth Bit in Nth Binary String","2","Medium","https://leetcode.com/problems/find-kth-bit-in-nth-binary-string/","No"
"259","Make The String Great","1","Easy","https://leetcode.com/problems/make-the-string-great/","No"
"260","Detect Cycles in 2D Grid","3","Hard","https://leetcode.com/problems/detect-cycles-in-2d-grid/","No"
"261","Minimum Numbers of Function Calls to Make Target Array","2","Medium","https://leetcode.com/problems/minimum-numbers-of-function-calls-to-make-target-array/","No"
"262","Minimum Number of Vertices to Reach All Nodes","2","Medium","https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes/","No"
"263","Thousand Separator","1","Easy","https://leetcode.com/problems/thousand-separator/","No"
"264","Get the Maximum Score","3","Hard","https://leetcode.com/problems/get-the-maximum-score/","No"
"265","Minimum Swaps to Arrange a Binary Grid","2","Medium","https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/","No"
"266","Find the Winner of an Array Game","2","Medium","https://leetcode.com/problems/find-the-winner-of-an-array-game/","No"
"267","Count Good Triplets","1","Easy","https://leetcode.com/problems/count-good-triplets/","No"
"268","Number of Good Leaf Nodes Pairs","2","Medium","https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/","No"
"269","Bulb Switcher IV","2","Medium","https://leetcode.com/problems/bulb-switcher-iv/","No"
"270","Shuffle String","1","Easy","https://leetcode.com/problems/shuffle-string/","No"
"271","Maximum Number of Non-Overlapping Subarrays With Sum Equals Target","2","Medium","https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/","No"
"272","Minimum Insertions to Balance a Parentheses String","2","Medium","https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/","No"
"273","Can Convert String in K Moves","2","Medium","https://leetcode.com/problems/can-convert-string-in-k-moves/","No"
"274","Kth Missing Positive Number","1","Easy","https://leetcode.com/problems/kth-missing-positive-number/","Yes"
"275","Find a Value of a Mysterious Function Closest to Target","3","Hard","https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target/","No"
"276","Maximum Number of Non-Overlapping Substrings","3","Hard","https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings/","No"
"277","Number of Nodes in the Sub-Tree With the Same Label","2","Medium","https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label/","No"
"278","Water Bottles","1","Easy","https://leetcode.com/problems/water-bottles/","No"
"279","Best Position for a Service Centre","3","Hard","https://leetcode.com/problems/best-position-for-a-service-centre/","No"
"280","String Compression II","3","Hard","https://leetcode.com/problems/string-compression-ii/","No"
"281","Number of Substrings With Only 1s","2","Medium","https://leetcode.com/problems/number-of-substrings-with-only-1s/","No"
"282","Number of Good Pairs","1","Easy","https://leetcode.com/problems/number-of-good-pairs/","Yes"
"283","Minimum Number of Increments on Subarrays to Form a Target Array","3","Hard","https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array/","No"
"284","Number of Good Ways to Split a String","2","Medium","https://leetcode.com/problems/number-of-good-ways-to-split-a-string/","Yes"
"285","Number of Sub-arrays With Odd Sum","2","Medium","https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum/","No"
"286","Count Odd Numbers in an Interval Range","1","Easy","https://leetcode.com/problems/count-odd-numbers-in-an-interval-range/","No"
"287","Minimum Possible Integer After at Most K Adjacent Swaps On Digits","3","Hard","https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits/","No"
"288","Count Submatrices With All Ones","2","Medium","https://leetcode.com/problems/count-submatrices-with-all-ones/","No"
"289","Last Moment Before All Ants Fall Out of a Plank","2","Medium","https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank/","No"
"290","Can Make Arithmetic Progression From Sequence","1","Easy","https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence/","No"
"291","Max Value of Equation","3","Hard","https://leetcode.com/problems/max-value-of-equation/","No"
"292","Number of Subsequences That Satisfy the Given Sum Condition","2","Medium","https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/","No"
"293","Check If Array Pairs Are Divisible by k","2","Medium","https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k/","No"
"294","Path Crossing","1","Easy","https://leetcode.com/problems/path-crossing/","No"
"295","Stone Game IV","3","Hard","https://leetcode.com/problems/stone-game-iv/","No"
"296","Minimum Difference Between Largest and Smallest Value in Three Moves","2","Medium","https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/","No"
"297","Range Sum of Sorted Subarray Sums","2","Medium","https://leetcode.com/problems/range-sum-of-sorted-subarray-sums/","No"
"298","Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree","3","Hard","https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/","No"
"299","Avoid Flood in The City","2","Medium","https://leetcode.com/problems/avoid-flood-in-the-city/","No"
"300","Making File Names Unique","2","Medium","https://leetcode.com/problems/making-file-names-unique/","No"
"301","XOR Operation in an Array","1","Easy","https://leetcode.com/problems/xor-operation-in-an-array/","No"
